sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
456631,122610.607142857,2511.66466803765,2511.66466803765,other (see notes),not applicable,not applicable
456632,122641.071428571,2530.51749276016,2530.51749276016,other (see notes),not applicable,not applicable
456633,122671.535714286,2548.41215228265,2548.41215228265,other (see notes),not applicable,not applicable
456634,122702.0,2558.43517386211,2558.43517386211,other (see notes),not applicable,not applicable
456635,122807.411764706,2563.82540295177,2563.82540295177,other (see notes),not applicable,not applicable
456636,122912.823529412,2570.06975877718,2570.06975877718,other (see notes),not applicable,not applicable
456637,123018.235294118,2571.0911388047,2571.0911388047,other (see notes),not applicable,not applicable
456638,123123.647058824,2567.42148955036,2567.42148955036,other (see notes),not applicable,not applicable
456639,123229.058823529,2564.74960768378,2564.74960768378,other (see notes),not applicable,not applicable
456640,123334.470588235,2561.44586511679,2561.44586511679,other (see notes),not applicable,not applicable
456641,123439.882352941,2557.23550091953,2557.23550091953,other (see notes),not applicable,not applicable
456642,123545.294117647,2554.49017201376,2554.49017201376,other (see notes),not applicable,not applicable
456643,123650.705882353,2545.20065735694,2545.20065735694,other (see notes),not applicable,not applicable
456644,123756.117647059,2544.11303741858,2544.11303741858,other (see notes),not applicable,not applicable
456645,123861.529411765,2541.72366882095,2541.72366882095,other (see notes),not applicable,not applicable
