sample_id,entity_id,sample_thickness,depth_sample,mineralogy,arag_corr
456731,803,0.9,810.25,calcite,not applicable
456732,803,0.9,810.5,calcite,not applicable
456733,803,0.9,810.75,calcite,not applicable
456734,803,0.9,811.0,calcite,not applicable
456735,803,0.9,811.25,calcite,not applicable
456736,803,0.9,811.5,calcite,not applicable
456737,803,0.9,811.75,calcite,not applicable
456738,803,0.9,812.0,calcite,not applicable
456739,803,0.9,812.25,calcite,not applicable
456740,803,0.9,812.5,calcite,not applicable
456741,803,0.9,812.75,calcite,not applicable
456742,803,0.9,813.0,calcite,not applicable
456743,803,0.9,813.25,calcite,not applicable
456744,803,0.9,813.5,calcite,not applicable
456745,803,0.9,813.75,calcite,not applicable
456746,803,0.9,814.0,calcite,not applicable
456747,803,0.9,814.25,calcite,not applicable
456748,803,0.9,814.5,calcite,not applicable
456749,803,0.9,814.75,calcite,not applicable
456750,803,0.9,815.0,calcite,not applicable
456751,803,0.9,815.25,calcite,not applicable
456752,803,0.9,815.5,calcite,not applicable
456753,803,0.9,815.75,calcite,not applicable
456754,803,0.9,816.0,calcite,not applicable
456755,803,0.9,816.25,calcite,not applicable
456756,803,0.9,816.5,calcite,not applicable
456757,803,0.9,816.75,calcite,not applicable
456758,803,0.9,817.0,calcite,not applicable
456759,803,0.9,817.25,calcite,not applicable
456760,803,0.9,817.5,calcite,not applicable
456761,803,0.9,817.75,calcite,not applicable
456762,803,0.9,818.0,calcite,not applicable
456763,803,0.9,818.25,calcite,not applicable
456764,803,0.9,818.5,calcite,not applicable
456765,803,0.9,818.75,calcite,not applicable
456766,803,0.9,819.0,calcite,not applicable
456767,803,0.9,819.25,calcite,not applicable
456768,803,0.9,819.5,calcite,not applicable
456769,803,0.9,819.75,calcite,not applicable
456770,803,0.9,819.99,calcite,not applicable
456771,803,0.9,820.25,calcite,not applicable
456772,803,0.9,820.5,calcite,not applicable
456773,803,0.9,820.75,calcite,not applicable
456774,803,0.9,821.0,calcite,not applicable
456775,803,0.9,821.25,calcite,not applicable
456776,803,0.9,821.5,calcite,not applicable
456777,803,0.9,821.75,calcite,not applicable
456778,803,0.9,822.0,calcite,not applicable
456779,803,0.9,822.25,calcite,not applicable
456780,803,0.9,822.5,calcite,not applicable
456781,803,0.9,822.75,calcite,not applicable
456782,803,0.9,823.0,calcite,not applicable
456783,803,0.9,823.25,calcite,not applicable
456784,803,0.9,823.5,calcite,not applicable
456785,803,0.9,823.75,calcite,not applicable
456786,803,0.9,824.0,calcite,not applicable
456787,803,0.9,824.25,calcite,not applicable
456788,803,0.9,824.5,calcite,not applicable
456789,803,0.9,824.75,calcite,not applicable
456790,803,0.9,825.0,calcite,not applicable
456791,803,0.9,825.25,calcite,not applicable
456792,803,0.9,825.5,calcite,not applicable
456793,803,0.9,825.75,calcite,not applicable
456794,803,0.9,826.0,calcite,not applicable
456795,803,0.9,826.25,calcite,not applicable
456796,803,0.9,826.48,calcite,not applicable
456797,803,0.9,826.5,calcite,not applicable
456798,803,0.9,826.75,calcite,not applicable
456799,803,0.9,827.0,calcite,not applicable
456800,803,0.9,827.25,calcite,not applicable
456801,803,0.9,827.5,calcite,not applicable
456802,803,0.9,827.75,calcite,not applicable
456803,803,0.9,828.0,calcite,not applicable
456804,803,0.9,828.25,calcite,not applicable
456805,803,0.9,828.5,calcite,not applicable
456806,803,0.9,828.75,calcite,not applicable
456807,803,0.9,829.0,calcite,not applicable
456808,803,0.9,829.25,calcite,not applicable
456809,803,0.9,829.5,calcite,not applicable
456810,803,0.9,829.75,calcite,not applicable
456811,803,0.9,830.0,calcite,not applicable
456812,803,0.9,830.25,calcite,not applicable
456813,803,0.9,830.5,calcite,not applicable
456814,803,0.9,830.75,calcite,not applicable
456815,803,0.9,831.0,calcite,not applicable
456816,803,0.9,831.25,calcite,not applicable
456817,803,0.9,831.5,calcite,not applicable
456818,803,0.9,831.75,calcite,not applicable
456819,803,0.9,832.0,calcite,not applicable
456820,803,0.9,832.25,calcite,not applicable
456821,803,0.9,832.5,calcite,not applicable
456822,803,0.9,832.75,calcite,not applicable
456823,804,0.9,0.0,calcite,not applicable
456824,804,0.9,12.0,calcite,not applicable
456825,804,0.9,24.0,calcite,not applicable
456826,804,0.9,36.0,calcite,not applicable
456827,804,0.9,48.0,calcite,not applicable
456828,804,0.9,60.0,calcite,not applicable
456829,804,0.9,74.0,calcite,not applicable
456830,804,0.9,86.0,calcite,not applicable
456831,804,0.9,98.0,calcite,not applicable
456832,804,0.9,110.0,calcite,not applicable
456833,804,0.9,122.0,calcite,not applicable
456834,804,0.9,134.0,calcite,not applicable
456835,804,0.9,146.0,calcite,not applicable
456836,804,0.9,158.0,calcite,not applicable
456837,804,0.9,170.0,calcite,not applicable
456838,804,0.9,182.0,calcite,not applicable
