sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg
456606,120681.933140822,1084.14424221919,1179.23419504124,120808.113121084,447.403984388788,443.367193398837,,,,124045.154,513.302000000011,855.277749999994,,,,120775.149212871,1032.96284797363,1124.29531783154,120527.202928102,279.470264699543,581.179993731421
456607,120721.767633126,1059.66371727757,1167.01553685473,120890.638940918,443.298531904438,441.100966144688,,,,124110.091,512.21100000001,853.747362499998,,,,120834.417718145,1016.92086335567,1115.50752086294,120534.889020976,280.730283849916,579.995684329595
456608,120752.294397041,1064.89096604376,1162.39285438528,120972.401010551,440.625902496424,438.162955197186,,,,124174.32025,511.827749999982,851.222550000006,,,,120886.005667011,1030.04007093085,1107.46404963563,120542.525762783,282.352851947056,578.758313060287
456609,120783.614492795,1066.80622237184,1150.50853022528,121055.126882222,436.98812298321,435.823974922823,,,,124238.543875,511.450125000018,843.674287499976,,,,120926.355837274,1043.84638482481,1110.17995011096,120550.114554873,284.377297851403,577.469718061519
456610,120822.102372524,1063.42987986603,1169.07684424629,121136.837411155,435.468836295855,431.925080097499,,,,124301.27,512.570000000007,834.5435,,,,120959.770430099,1060.12027947891,1098.72379070699,120557.656798594,286.84295042335,576.131737471325
456611,120857.333380541,1074.49531356446,1171.68356815436,121218.429041462,432.779694434663,429.376556941395,,,,124366.105625,511.580375000005,831.075687499993,,,,120996.767061501,1084.23104248501,1101.16013583312,120565.142848148,289.802509899673,574.735462332756
456612,120892.186323431,1063.02699999261,1174.67143206729,121300.502010389,430.758123515945,426.938207706175,,,,124427.8685,513.66350000001,827.556125000003,,,,121030.090883875,1120.74674633669,1109.36831600966,120572.518869136,293.36216202275,573.228995308804
456613,120927.649191735,1067.58831477855,1191.23697017803,121382.194785533,428.963522940889,423.934735642164,,,,124491.166,514.212000000014,822.210087499989,,,,121061.499434809,1124.54169959432,1119.22224289102,120579.719980013,297.641463911321,571.549691967448
456614,120959.249539212,1075.51266637677,1196.30798925001,121464.305196539,425.191781457237,421.348899439501,,,,124553.163,516.061000000002,816.306049999999,,,,121091.861487798,1143.14266504053,1135.49825246392,120586.681299231,302.7599726841,569.634907876709
456615,120992.459991205,1080.25857188292,1208.47685696316,121546.66735699,421.811889771197,420.210813566955,,,,124616.2325,516.837500000009,812.414625000005,,,,121121.257003654,1157.96798857467,1152.025889472,120593.337945243,308.837245459814,567.421998604565
456616,121020.77833668,1085.61988269805,1215.35959912628,121629.054940896,418.244564253851,419.863086753554,,,,124677.505,519.411000000007,808.668949999977,,,,121138.270831508,1164.28826818865,1152.51420579823,120599.625036503,315.992839357248,564.848319719007
456617,121049.83992762,1115.87754327667,1214.71424249251,121711.682365691,414.441042278442,418.418129712503,,,,124740.459875,520.302124999987,806.575750000018,,,,121160.616813705,1196.06568673972,1161.49482464568,120605.477691465,324.346311495086,561.851226788058
456618,121083.807486619,1152.69142390706,1232.89215253321,121793.975641864,410.596962149517,415.612986501423,,,,124804.302,520.305999999997,805.347999999998,,,,121181.233583095,1230.19718234398,1162.76945262752,120610.831028581,334.017218992085,558.368075379694
456619,121125.802344611,1171.99641148756,1244.2093524209,121876.324487251,408.648482235993,414.375860890985,,,,124867.55425,520.899749999997,803.530375000002,,,,121198.695305856,1266.69941811416,1168.38718037942,120615.554993082,345.076303068519,554.248959219505
456620,121146.537025482,1200.3238040546,1242.63185516164,121958.113313897,407.130010855806,411.074384482126,,,,124931.0125,521.287500000006,801.918749999997,,,,121214.317332566,1289.38720095195,1171.8159084206,120619.258837305,357.399041350756,548.994924663464
