sample_id,d13C_measurement,d13C_precision
456901,-5.1325,0.06
456902,-4.9125,0.06
456903,-6.0625,0.06
456904,-6.2225,0.06
456905,-5.3025,0.06
456906,-4.4625,0.06
456907,-3.9625,0.06
456908,-4.7925,0.06
456909,-5.0025,0.06
456910,-5.44875,0.06
456911,-6.42875,0.06
456912,-5.85875,0.06
456913,-5.76875,0.06
456914,-5.11875,0.06
456915,-5.31875,0.06
456916,-5.79875,0.06
456918,-7.39875,0.06
456919,-7.44875,0.06
456920,-7.56875,0.06
456921,-8.02875,0.06
456922,-8.07875,0.06
456923,-7.06875,0.06
456924,-6.04875,0.06
456925,-6.03875,0.06
456926,-6.05875,0.06
456927,-5.30875,0.06
456928,-5.68875,0.06
456929,-7.12875,0.06
456930,-6.57875,0.06
456931,-6.76875,0.06
456932,-5.01875,0.06
456933,-5.35875,0.06
456934,-4.62875,0.06
456935,-4.19875,0.06
456936,-3.88,0.06
456937,-4.28,0.06
456938,-4.41666666666667,0.06
456939,-4.98,0.06
456940,-5.62666666666667,0.06
456941,-5.95,0.06
456942,-6.12,0.06
456943,-6.14,0.06
456944,-4.93666666666667,0.06
456945,-4.30666666666667,0.06
456946,-4.12666666666667,0.06
456947,-4.06,0.06
456948,-4.44,0.06
456949,-5.27318181818182,0.02
456950,-6.06418181818182,0.02
456951,-6.61218181818182,0.02
456952,-6.56418181818182,0.02
456953,-6.36518181818182,0.02
456954,-6.41618181818182,0.02
456955,-6.72918181818182,0.02
456956,-5.37218181818182,0.02
456957,-4.79718181818182,0.02
456958,-3.51518181818182,0.02
456959,-6.38518181818182,0.02
456960,-6.55518181818182,0.02
456961,-6.42318181818182,0.02
456962,-6.86642857142857,0.04
456963,-7.10618181818182,0.02
456964,-7.61309523809524,0.04
456965,-6.44018181818182,0.02
456966,-7.09642857142857,0.04
456967,-7.25418181818182,0.02
456968,-7.11309523809524,0.04
456969,-7.23018181818182,0.02
456970,-7.29809523809524,0.04
456971,-6.97318181818182,0.02
456972,-6.99642857142857,0.04
456973,-5.79818181818182,0.02
456974,-6.56418181818182,0.02
456975,-6.70018181818182,0.02
456976,-6.84918181818182,0.02
456977,-6.24218181818182,0.02
456978,-7.00818181818182,0.02
456979,-6.09018181818182,0.02
456980,-5.68518181818182,0.02
456981,-5.27018181818182,0.02
456982,-5.76018181818182,0.02
456983,-5.26018181818182,0.02
456984,-5.85918181818182,0.02
456985,-4.63309523809524,0.04
456986,-4.71118181818182,0.02
456987,-4.77976190476191,0.04
456988,-6.04642857142857,0.04
456989,-6.28142857142857,0.04
456990,-5.76918181818182,0.02
456991,-6.35309523809524,0.04
456992,-6.40018181818182,0.02
456993,-6.53809523809524,0.04
456994,-6.14925,0.02
456995,-6.30625,0.02
456996,-6.68325,0.02
456997,-6.95125,0.02
456998,-6.73025,0.02
456999,-5.92125,0.02
457000,-6.61425,0.02
457001,-6.36925,0.02
457002,-6.20225,0.02
457003,-6.43925,0.02
457004,-6.62525,0.02
457006,-5.9526599378882,0.02
457007,-3.43246428571429,0.02
457008,-4.53786645962733,0.02
457009,-5.51026863354037,0.02
457010,-6.50267080745342,0.02
457011,-6.12907298136646,0.02
457012,-4.1224751552795,0.02
457013,-3.35787732919255,0.02
457014,-5.42427950310559,0.02
457015,-6.22508385093168,0.02
457016,-5.89648602484472,0.02
457017,-5.10288819875776,0.02
457018,-5.38829037267081,0.02
457019,-7.07369254658385,0.02
457020,-5.50060454698034,0.08
457021,-4.95317782799565,0.08
457022,-4.6687254020233,0.08
457023,-5.97588378924398,0.08
457024,-6.35865693474718,0.08
457025,-6.67555130857048,0.08
457026,-7.47052300693434,0.08
457027,-6.58308932522133,0.08
457028,-5.22861697176544,0.08
457029,-5.03318286710997,0.08
457030,-5.40355552080699,0.08
457031,-4.93233651608936,0.08
457032,-6.23823411377026,0.08
457033,-5.75022491212188,0.08
457034,-5.6504368837255,0.08
457035,-6.16918707815223,0.08
457036,-5.0588056957292,0.08
457037,-6.24165975007787,0.08
457038,-5.71193970966624,0.08
457039,-5.89384819318843,0.08
457040,-5.76982705727965,0.08
457041,-6.92876010562132,0.08
457042,-6.59602919063733,0.08
457043,-6.13497225166847,0.08
457044,-7.42381055894447,0.08
457045,-7.19167229272882,0.08
457046,-7.84083780815348,0.08
457047,-6.31240582358874,0.08
457048,-7.6620242921379,0.08
457049,-6.88482162734371,0.08
457050,-6.58167354169259,0.08
457051,-5.98751599499172,0.08
457052,-6.38923533151033,0.08
457053,-7.0756098757678,0.08
457054,-6.93178518599881,0.08
457055,-7.40886477646885,0.08
457056,-8.45666657756255,0.08
457057,-8.14978402047944,0.08
457058,-7.5774457410924,0.08
457059,-8.47636333590102,0.08
457060,-8.38607631778749,0.08
457061,-8.44470024270776,0.08
457062,-8.5493336039624,0.08
457063,-8.24110265564639,0.08
457064,-7.20064323068168,0.08
