dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
14185,809,ICP-MS U/Th Other,500.0,5.0,GAL 50,calcite,100.0,500.0,41169.641686691,443.119893313066,443.119893313066,,,unknown,178.188810184456,0.759563283053199,289.022133558688,2.4709856533847,,,673.83409496352,6.47660021450027,0.357625272229675,0.00218878031673538,1.12903161219478,0.00697039557966354,0.816,0.408,Cheng et al. 2013,41109.641686691,443.119893313066,443.119893313066,,,,,no,,
14186,809,Event; hiatus,505.0,,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,
14187,809,ICP-MS U/Th Other,510.0,5.0,GAL 51,calcite,100.0,500.0,48829.6014772756,440.163270200146,440.163270200146,,,unknown,151.693792410101,0.556120533214807,306.968287951888,2.25827132783568,,,606.73670493359,4.97011518614185,0.40174503344611,0.00206497816382312,1.10502144271264,0.0052355105071353,0.816,0.408,Cheng et al. 2013,48769.6014772756,440.163270200146,440.163270200146,,,,,no,,
14188,809,ICP-MS U/Th Other,540.0,5.0,GAL 54,calcite,100.0,500.0,51827.4850081282,502.063882045603,502.063882045603,,,unknown,175.116899833672,0.683636214942711,102.365820546454,2.10638301528149,,,2192.87794580389,45.8619844932824,0.419436206188575,0.00226743593293801,1.10134851787636,0.00556809994968413,0.816,0.408,Cheng et al. 2013,51767.4850081282,502.063882045603,502.063882045603,,,,,no,,
14189,809,ICP-MS U/Th Other,580.0,5.0,GAL 58,calcite,100.0,500.0,54117.1813328929,903.133325949233,903.133325949233,,,unknown,245.770321674833,1.48656670615403,3438.20394398838,12.5094682129017,,,95.3504164536439,0.829599091847341,0.436464911394535,0.0043437711860904,1.10233475566882,0.00815986036818084,0.816,0.408,Cheng et al. 2013,54057.1813328929,903.133325949233,903.133325949233,,,,,no,,
14190,809,ICP-MS U/Th Other,590.0,5.0,GAL59,calcite,100.0,500.0,55834.3494068474,935.0,935.0,,,unknown,95.1421356375302,0.417511710771833,137.637522680291,2.39790804506419,,,940.040874647589,17.2149075624643,0.444974613231038,0.00318074109315491,1.10210899581381,0.00570087279806365,0.816,0.408,Cheng et al. 2013,55774.3494068474,935.0,935.0,,,,,no,,
14191,809,ICP-MS U/Th Other,700.0,5.0,GAL 70,calcite,100.0,500.0,58719.720312066,1263.59466820718,1263.59466820718,,,unknown,134.007940030823,1.11381442806344,37.3625635162373,1.62624866850016,,,4928.82275935564,215.41081383271,0.44964925802632,0.00413623528172968,1.0739344746821,0.0135187406804214,0.816,0.408,Cheng et al. 2013,58659.720312066,1263.59466820718,1263.59466820718,,,,,no,,
14192,809,ICP-MS U/Th Other,860.0,5.0,GAL 86,calcite,100.0,500.0,59944.857462658,680.83426843287,680.83426843287,,,unknown,157.218032569009,0.679429639273662,451.34410490068,2.41584839594382,,,508.049320420322,3.61965095458657,0.477238900909931,0.0030477943271978,1.11789683343483,0.00600178722067923,0.816,0.408,Cheng et al. 2013,59884.857462658,680.83426843287,680.83426843287,,,,,no,,
14193,809,ICP-MS U/Th Other,880.0,5.0,GAL88,calcite,100.0,500.0,59795.0046755174,603.312971476406,603.312971476406,,,unknown,140.363450444948,0.472839836672588,631.212735914239,2.95932085376505,,,324.45446349726,2.25202967377458,0.477419348011312,0.00292530229932358,1.11972347388122,0.00472860156477003,0.816,0.408,Cheng et al. 2013,59735.0046755174,603.312971476406,603.312971476406,,,,,no,,
15726,903,MC-ICP-MS U/Th,3.3,1.3,GLA-I 2.65,calcite,20,35,11050.0861359044,44.27683512311158,44.27683512311158,,,yes,782.2595579349967,0.8838531524055591,719.6494530692618,17.9348205533424,,,364.7974154717256,9.178084344610582,0.1098111447734126,0.000398741634988198,1.137349773356107,0.001311974854978602,,,Cheng et al. 2013,10955.62477663981,47.26021131427267,47.26021131427267,,,,,,,
15727,903,MC-ICP-MS U/Th,4.525,1.149999999999999,GLA-G 3.95,calcite,20,35,13038.47890010021,51.49526332253843,51.49526332253843,,,yes,837.0289568124024,1.36912840225719,76.6312221911288,10.22501593977697,,,4288.530394899032,572.3786721961762,0.1284689891556183,0.0004495781164807061,1.137433966889458,0.001434391521783471,,,Cheng et al. 2013,12965.13471218549,51.51973371009169,51.51973371009169,,,,,,,
15728,903,MC-ICP-MS U/Th,6.025,1.850000000000001,GLA-F-5.1,calcite,20,35,14130.78279754624,45.8118233043873,45.8118233043873,,,yes,598.6726044300341,0.7551147693579359,1695.767989836386,36.76668949238695,,,149.6331320650695,3.266100574976924,0.1386849580088038,0.0003908003548562436,1.13831587517944,0.001288647725142201,,,Cheng et al. 2013,13987.6892787299,68.48409263914579,68.48409263914579,,,,,,,
15729,903,MC-ICP-MS U/Th,7.699999999999999,1.499999999999999,GLA-E 6.95,calcite,20,35,14019.77895299609,52.82595571039464,52.82595571039464,,,yes,796.5103208677536,0.8863907784406481,125.6511128704188,14.48890377362659,,,2669.385596833411,307.9234766302414,0.137787807455777,0.0004607122816668842,1.139342658219997,0.001301796937434653,,,Cheng et al. 2013,13944.75603992008,52.89979056899564,52.89979056899564,,,,,,,
15730,903,MC-ICP-MS U/Th,9.05,1.200000000000001,GLA-D-8.45,calcite,20,35,14229.85821853165,63.97577674268537,63.97577674268537,,,yes,540.8972686383967,0.5684754056655565,68.0286742782131,13.54545190130622,,,3398.837143857794,676.8871223378236,0.1398724299728034,0.0005684694545052514,1.140518565299707,0.001272775509060773,,,Cheng et al. 2013,14155.65161237027,64.01577303288475,64.01577303288475,,,,,,,
15731,903,MC-ICP-MS U/Th,10.35,1.4,GLA-C 9.65,calcite,20,35,14459.83186172177,57.35071270055144,57.35071270055144,,,yes,543.3963957199828,0.5367166937429116,115.3938666158582,11.91067755875502,,,2046.82993562516,211.3834112567579,0.1422237997472088,0.0005034591848297745,1.142348070410211,0.001279618978601951,,,Cheng et al. 2013,14383.43618904452,57.47404089092165,57.47404089092165,,,,,,,
15732,903,MC-ICP-MS U/Th,11.6,1.1,GLA-L 11.05,calcite,20,35,14893.87018275869,96.82384480665246,96.82384480665246,,,yes,375.4457958481241,0.5377492668349336,153.9720479349521,14.29245414330387,,,1093.455209385764,101.6909992738262,0.1467304277083149,0.0008620215903121939,1.146271495674409,0.001781050609837007,,,Cheng et al. 2013,14812.5008419397,97.08997201165207,97.08997201165207,,,,,,,
15733,903,MC-ICP-MS U/Th,12.75,1.199999999999999,GLA-B 12.15,calcite,20,35,15447.27146643448,85.35456647706525,85.35456647706525,,,yes,526.5916064144266,0.6511984684199985,78.11966348743309,19.14711564959032,,,3135.014827035397,768.5381590159951,0.1521775456509072,0.0007524781917337007,1.148917933537964,0.001658060430062626,,,Cheng et al. 2013,15372.52060927811,85.39619632179898,85.39619632179898,,,,,,,
15734,903,MC-ICP-MS U/Th,13.95,1.200000000000001,GLA-A-13.35,calcite,20,35,15879.91436925131,69.30600207188583,69.30600207188583,,,yes,386.4530205805178,0.3686074368723368,144.4221276750895,10.86798568379031,,,1279.940850549311,96.43925759297517,0.156513382660732,0.0006109027367581733,1.151547253502528,0.001290483958291888,,,Cheng et al. 2013,15799.5113543776,69.61667634670569,69.61667634670569,,,,,,,
15735,903,MC-ICP-MS U/Th,15.6,1.500000000000002,GLA-Z 14.85,calcite,20,35,16650.92498796844,70.34409914867476,70.34409914867476,,,yes,490.4268694426731,0.4289240945848947,118.2396046673421,13.06209358379767,,,2077.918585153249,229.6760213890979,0.1639237139349013,0.0006157260692838958,1.153984195366235,0.001281289415159982,,,Cheng et al. 2013,16573.86771073329,70.47050605066097,70.47050605066097,,,,,,,
15736,903,MC-ICP-MS U/Th,16.95,1.199999999999999,GLA-Y 16.35,calcite,20,35,16778.12935588607,70.99454597084055,70.99454597084055,,,yes,543.940743197606,0.580301365191273,327.82838258771,14.57513944197572,,,837.3223190788358,37.34746267476207,0.1651247500277309,0.0006165972952192302,1.154249621298734,0.001376167776836186,,,Cheng et al. 2013,16692.01521179809,71.77731056676731,71.77731056676731,,,,,,,
15737,903,MC-ICP-MS U/Th,18.225,1.349999999999998,GLA-X 17.55,calcite,20,35,17532.09142891031,62.13264832856609,62.13264832856609,,,yes,667.7027147311362,0.7499490822687458,87.92715339413319,12.9420877945982,,,3994.634985243296,588.0847531660519,0.1721240345926989,0.0005275301866121313,1.155137465595127,0.001315912148957837,,,Cheng et al. 2013,17457.77929635286,62.17469013411984,62.17469013411984,,,,,,,
15738,903,MC-ICP-MS U/Th,19.6,1.400000000000002,GLA-W 18.9,calcite,20,35,17546.87725515156,62.2896664262359,62.2896664262359,,,yes,735.8210773876535,0.8050224004184183,61.81348304235431,10.74712142274623,,,6265.955994742439,1089.570353602263,0.1722355821215386,0.0005283650993882934,1.154988267541723,0.0013240214897295,,,Cheng et al. 2013,17473.75788293403,62.30631149573507,62.30631149573507,,,,,,,
15739,903,MC-ICP-MS U/Th,20.9,1.199999999999999,GLA-V 20.3,calcite,20,35,18140.73842483766,67.16950810312179,67.16950810312179,,,yes,860.405065590182,0.950209551308363,88.75727082702464,17.16507369542657,,,5261.298549010464,1017.624452135169,0.1775899856974686,0.0005706159250393576,1.154840547803448,0.001309381605674883,,,Cheng et al. 2013,18067.13942005315,67.19359912792109,67.19359912792109,,,,,,,
15740,903,MC-ICP-MS U/Th,22.125,1.25,GLA-U 21.5,calcite,20,35,18350.677591505,79.92612887853178,79.92612887853178,,,yes,489.9754835958732,0.513538189973019,26.93809980401716,11.62613747183893,,,9969.562546958927,4302.892902836017,0.1793466440889893,0.0006892664620074206,1.153975186803421,0.001307596639702033,,,Cheng et al. 2013,18278.28296080058,79.93329031956627,79.93329031956627,,,,,,,
15741,903,MC-ICP-MS U/Th,23.45,1.399999999999999,GLA-T-22.75,calcite,20,35,18886.39961953249,91.47642118187801,91.47642118187801,,,yes,613.0211906573601,0.7806525471488116,74.15914845208515,13.31855155663227,,,4641.935610776066,833.8752609400104,0.1837438888739248,0.0007778662698569286,1.151422695670387,0.001553565155232059,,,Cheng et al. 2013,18812.34551103802,91.49955249503071,91.49955249503071,,,,,,,
15742,903,MC-ICP-MS U/Th,24.875,1.450000000000003,GLA-S-24.15,calcite,20,35,19253.07130802892,82.30862163968528,82.30862163968528,,,yes,513.9771027614224,0.5864436380763156,111.9800955014307,9.79575358000269,,,2623.449812351939,229.6840316402446,0.187022719073056,0.0007006406967395154,1.151450627874784,0.00131244631639165,,,Cheng et al. 2013,19176.58625812287,82.39396681676385,82.39396681676385,,,,,,,
15743,903,MC-ICP-MS U/Th,26.225,1.25,GLA-R 25.6,calcite,20,35,19454.72806998624,86.54236330670275,86.54236330670275,,,yes,445.120615717657,0.4910727267065697,46.18470046816731,9.71782451372712,,,5570.46054612101,1172.273718079885,0.189119394937496,0.0007295247310854752,1.153240677344819,0.00149458471742158,,,Cheng et al. 2013,19381.11022364272,86.56072361188018,86.56072361188018,,,,,,,
15744,903,MC-ICP-MS U/Th,29.0,1.200000000000003,GLA-P 28.4,calcite,20,35,20330.7887203571,57.33375977263965,57.33375977263965,,,yes,451.06533033928,0.3642810237869203,20.84244873660409,7.019148811580396,,,12980.52466491518,4371.565326719959,0.1962574202313532,0.000454463660320297,1.149574301888971,0.001265033624125334,,,Cheng et al. 2013,20255.60785274889,57.34015137418803,57.34015137418803,,,,,,,
15745,903,MC-ICP-MS U/Th,30.5,1.799999999999997,GLA-O 29.6,calcite,20,35,20754.80811965569,74.37016674938685,74.37016674938685,,,yes,454.4817420270711,0.5176428110624104,11.9812677056307,4.504394153950443,,,23222.46671009231,8730.804962284625,0.200317653794464,0.0006114948321820599,1.151418833162232,0.001305790929237439,,,Cheng et al. 2013,20680.12653484561,74.37204556944113,74.37204556944113,,,,,,,
15746,903,MC-ICP-MS U/Th,33.1,1.799999999999997,GLA-N 32.2,calcite,20,35,21700.99081627864,76.7017868615406,76.7017868615406,,,yes,408.193875192285,0.5784920224025493,22.475762835973,4.311102526414106,,,11571.8500044541,2219.804370445354,0.2084852320081101,0.0006059076009886738,1.150758657209988,0.001523736425512843,,,Cheng et al. 2013,21625.58826420465,76.7076057437991,76.7076057437991,,,,,,,
15747,903,MC-ICP-MS U/Th,34.7,1.399999999999999,GLA-M 34.0,calcite,20,35,22105.74194411221,76.70738578481169,76.70738578481169,,,yes,470.0503550585281,0.5517672932861174,24.01152290325635,4.905321597767131,,,12666.94292311481,2587.958547687013,0.2117247744919846,0.0006219172657751064,1.14925861235455,0.001254099594089337,,,Cheng et al. 2013,22030.43717100226,76.71245968050414,76.71245968050414,,,,,,,
15748,903,MC-ICP-MS U/Th,36.0,1.200000000000003,GLA-AA 35.44,calcite,20,35,22755.3518600336,81.27095217103971,81.27095217103971,,,yes,426.8123943757472,0.5130262393153497,63.7727980249917,5.354210535772146,,,4443.069366183253,373.2343599637217,0.2172231403383395,0.0006585962704184409,1.148628313616015,0.001232665535247776,,,Cheng et al. 2013,22677.57585243996,81.31058192811577,81.31058192811577,,,,,,,
15749,903,MC-ICP-MS U/Th,37.2,1.199999999999996,GLA-AB 36.6,calcite,20,35,23242.82858913016,68.69150681952934,68.69150681952934,,,yes,410.3281184113055,0.4541072984373188,23.88301919796153,6.350735190316855,,,11613.21606899106,3088.169850293381,0.2211744725267979,0.0005303317369391166,1.147401189945411,0.001294607074003622,,,Cheng et al. 2013,23167.34186532471,68.69949685465664,68.69949685465664,,,,,,,
15750,903,MC-ICP-MS U/Th,38.3,1.0,GLA-AC 37.8,calcite,20,35,23600.9447278684,81.91264449797016,81.91264449797016,,,yes,451.7225114169394,0.5398461495680952,59.91381806809827,5.190131186229822,,,5173.772423680266,448.395478776221,0.2245365931339852,0.0006519814042480744,1.14887181851523,0.001284766780827094,,,Cheng et al. 2013,23523.59119018983,81.94308711545295,81.94308711545295,,,,,,,
